"","species","duration","peak","peak2","peak3","trough","trough2","peakToPeak2","peakToPeak3","peak2ToPeak3","Q_10dB","Q_3dB","centerHz_10dB","centerHz_3dB","fmin_10dB","fmax_10dB","fmin_3dB","fmax_3dB","BW_10dB","BW_3dB","ici"
"1","Narwhal",47.41,47.41,35.67,53.69,38.24,54.47,24.35,13.01,26.16,1.36,7.41,50.85,46.33,29.12,72.58,42.8,49.86,43.46,7.06,0.09
"2","Narwhal",33.17,33.17,36.39,17.32,32.05,16.84,15.89,5.84,6.19,3.04,10.36,34.76,33.4,27.25,42.26,31.25,35.55,15.02,4.3,0.09
"3","Narwhal",39.09,39.09,45.33,43.82,45.87,41.81,22.39,14.62,19.38,3.33,16.5,41.64,39.31,32.78,50.49,37.47,41.16,17.71,3.68,0.08
"4","Narwhal",40.38,40.38,53.94,44.58,49.28,43.54,21.31,15.76,18.01,5.25,19.44,44.05,41.99,36.59,51.51,40.02,43.96,14.92,3.94,0.1
"5","Narwhal",31.4,31.4,50.17,43.79,47.74,37.48,21.18,15.72,14.84,4.09,16.57,36.41,33.55,29.04,43.79,32.12,34.97,14.75,2.85,0.08
"6","Narwhal",39.15,39.15,44.57,41.62,45.88,37.76,18.87,15.64,18.43,3.28,17.4,41.62,38.61,32.44,50.81,36.75,40.47,18.38,3.72,0.13
"7","Narwhal",37.92,37.92,45.6,41.71,45.38,38,19.57,14.66,18.13,3.14,14.79,40.03,38.1,31.75,48.3,36.06,40.15,16.56,4.09,0.16
"8","Narwhal",40.23,40.23,43.61,44,44.36,41.49,19.48,15.97,17.12,2.17,12.57,42.38,38.41,29.36,55.4,36.06,40.76,26.04,4.7,0.12
"9","Narwhal",48.67,48.67,45.79,48.37,47.12,50.69,21.82,15.67,24.74,4.33,17.74,51.32,49.43,42.98,59.66,47.21,51.65,16.68,4.43,0.1
"10","Narwhal",43.75,43.75,39.81,44.02,43.74,42.76,20.77,14.98,18.55,3.58,20.51,43.25,40.79,34.44,52.06,38.97,42.62,17.63,3.65,0.17
